Example Classifier #1:  created at time 1505407756.0711071
Example Classifier #1:  created at time 1505407878.7971268
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 1
Example classifier #1: predict call with result: 0
Example classifier #1: predict call with result: 0
